移動支援,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日
2761800131,エルケア株式会社エルケア大阪西ケアセンター,06-6586-5103,06-6586-5104,550-0025,大阪市西区九条南２－３４－３　Ｏｓａｋａ　Ｍｅｔｒｏ九条ビル１階,エルケア　株式会社,○,○,○,○,2008/09/01
2761800305,福祉サービス事業所　やながわ,06-6582-3043,06-6582-3043,550-0025,大阪市西区九条南４－４－１８　,合同会社　やながわ,○,○,○,○,2013/03/01
2761800214,セフニアケアステーション,06-4395-5578,06-6586-5778,550-0026,大阪市西区安治川２丁目２番１３号　,株式会社　セフニア,○,○,○,○,2011/07/01
2761800164,ケア２１九条,06-6586-5221,06-6586-5226,550-0027,大阪市西区九条１－６－１８　木村家ビル２０１号室,株式会社　ケア２１,○,○,○,○,2010/03/01
2761800230,アイケアズ訪問介護,06-6582-0022,06-6582-5801,550-0027,大阪市西区九条一丁目１９番２０号　 ,株式会社　佐伯,○,○,○,○,2011/09/01
2761800255,ケアセンタ―ゆり,06-6586-5081,06-6586-5084,550-0027,大阪市西区九条三丁目５番８号　 ,合同会社　奥田,○,○,○,○,2012/03/01
2761800321,ケアセンターエンカレッジ,06-6586-6768,06-6586-6768,550-0027,大阪市西区九条三丁目５番１０号　美好ハイツ２０１,株式会社シュクレサレ,○,○,○,○,2013/09/01
2761800370,ヘルパーステーションコスモスター,06-6584-1177,06-6584-1137,550-0027,大阪市西区九条一丁目８番８号　 ,株式会社セブン商事,○,○,○,○,2018/05/01
2761800677,パーチェ訪問介護ステーション,0120-92-5954,06-6409-4175,550-0027,大阪市西区九条一丁目１９番２６号　 ,株式会社キミノウタ,○,○,○,,2024/06/01
2761800271,ケアセンター　みのり,06-6581-6756,06-6581-6756,550-0027,大阪市西区九条２丁目９番１６号　,ＮＰＯ法人　規公会,○,○,○,○,2012/09/01
2761700034,指定居宅介護事業所大阪市手をつなぐ育成会,06-4393-1115,06-4393-3770,552-0001,大阪市港区波除六丁目４番５号　 ,社会福祉法人大阪市手をつなぐ育成会,○,○,○,○,2008/09/01
2761800180,訪問介護どころまごの手,06-6584-0703,06-6584-0702,552-0001,大阪市港区波除一丁目１番９７号　２Ｆ,Ｒ．ｃｌｏｖｅｒｓ　株式会社,○,○,○,○,2010/07/01
2760400412,エール訪問介護,06-4395-5096,06-4395-5097,552-0002,大阪市港区市岡元町三丁目１番７号　サンライズビル２階,株式会社ライフクリエーション,○,○,○,○,2016/10/01
2760400461,ヘルパーステーションこころのはね,06-6616-9785,06-6616-9786,552-0002,大阪市港区市岡元町二丁目８番１８号　 ,株式会社はぐくみ,○,○,○,○,2019/05/01
2760400735,訪問介護ハッピーロード港,06-6684-8882,06-6684-8883,552-0002,大阪市港区市岡元町二丁目３番６号　 ,株式会社ネクスト,○,○,○,○,2022/02/01
2760400685,ＭＩＫＩトータル介護センター,06-6563-9556,06-6563-9557,552-0002,大阪市港区市岡元町一丁目６番１２号　市元ビル４０１,株式会社ＭＩＫＩ介護センター,○,○,○,○,2020/04/01
2760400784,訪問介護ステーションほほえみ,06-6585-7931,06-6585-7932,552-0002,大阪市港区市岡元町二丁目１１番８号　イブキホーム６０１号室,合同会社あわしま,○,○,○,○,2024/02/01
2760400230,ライフサポートたんぽぽ,06-6537-9887,06-6537-9939,552-0003,大阪市港区磯路二丁目１２番１－１０９号　 ,株式会社　ライフサポートたんぽぽ,○,○,○,○,2010/09/01
2760400404,株式会社　ケア　ふるさと,06-6576-2578,06-6576-2737,552-0003,大阪市港区磯路三丁目１２番２３号　ソレーユビル２Ｂ,株式会社　ケア　ふるさと,○,○,○,○,2015/10/01
2760400305,トンドみなとケアセンター,06-6556-9475,06-6556-9476,552-0003,大阪市港区磯路３丁目１番１８号　ソレイユ磯路６０２号,株式会社　Ｔｏｎｄｏ　,○,○,○,○,2012/10/01
2760400347,生き生き介護センター（磯路）,06-6575-1155,06-6575-1166,552-0003,大阪市港区磯路二丁目１番２０号　ミナトＳＫビル２０６号,心和サービス株式会社,○,○,○,○,2013/07/01
2760400164,パグアサ・希望・ケア合同会社,06-7502-2162,06-7502-2162,552-0004,大阪市港区夕凪１－１０－１２　ノーブルⅢ３０３号,パグアサ・希望・ケア　合同会社,○,○,○,○,2009/06/01
2760400172,ニチイケアセンター弁天町,06-4395-7750,06-6577-5665,552-0004,大阪市港区夕凪二丁目１８番７号　ＤＵＯ　ＫＩＮＫＩビル４階,株式会社ニチイ学館,○,○,○,○,2009/07/01
2760400321,ケアホームゆーき,06-6575-9299,06-6575-9288,552-0004,大阪市港区夕凪１丁目１５番１３号　エンペランス１Ｆ,合同会社　ゆーき,○,○,○,○,2013/01/01
2760400792,訪問ケアチロル,06-6760-4271,06-6760-4272,552-0004,大阪市港区夕凪二丁目２番１５号　邱ハイツ１階,合同会社れんげ,○,○,○,○,2024/07/01
2760400750,訪問介護Ｔｈｉｎｋケアサービス,06-6556-9247,06-6556-9288,552-0004,大阪市港区夕凪一丁目１７番３１号　レジデンス夕凪２０１号,株式会社Ｔｈｉｎｋ,○,○,○,○,2022/11/01
2760400024,株式会社ケアプランセンターあんしん倶楽部,06-6575-1001,06-6575-2002,552-0007,大阪市港区弁天四丁目１２番１０号　,株式会社　ケアプランセンターあんしん倶楽部,○,○,○,○,2008/09/01
2760400701,ケアサポートオアシス,06-6586-9287,06-6599-9696,552-0007,大阪市港区弁天三丁目２番７号　ウィンパレス弁天２０２,合同会社ＯＡＳＩＳ,○,○,○,○,2021/02/01
2760400776,ハンドリー,06-6575-9158,06-6575-9158,552-0007,大阪市港区弁天四丁目９番１６号　 ,合同会社アクトノミー,○,○,○,○,2023/09/01
2760400339,ケアセンターにし,06-6568-9851,06-6568-9852,552-0007,大阪市港区弁天四丁目１３番１０号２０１号室　,ＮＰＯ法人　ユートピアにし,○,○,○,○,2013/05/01
2760400420,自立平和社花・花,06-4393-8711,06-4393-8806,552-0007,大阪市港区弁天三丁目５番７号　 ,特定非営利活動法人自立平和社花・花,○,○,○,○,2017/08/01
2760400073,ケア２１港,06-6583-3021,06-6583-3221,552-0011,大阪市港区南市岡三丁目１番１０号　勝本店舗１階,株式会社　ケア２１,○,○,○,○,2008/09/01
2760400453,友,06-6584-1327,06-6584-3368,552-0011,大阪市港区南市岡二丁目５番１０号　 ,株式会社川口電子,○,○,○,○,2019/04/01
2760400354,ケアステーションパル,06-6575-3124,06-6571-2388,552-0012,大阪市港区市岡三丁目１２番１８号　 ,パル田中　株式会社,○,○,○,○,2013/08/01
2760400727,トータルサポート　いざなみ・ぷらす,06-6575-9101,06-6575-1375,552-0012,大阪市港区市岡二丁目１３番５７号　２階,有限会社フレックス,○,○,○,,2021/10/01
2760400826,あいランド訪問介護,06-6575-9492,06-6575-9493,552-0012,大阪市港区市岡一丁目１５番６－１０１号　ベルハイツ３,あいランド株式会社,○,○,○,○,2025/03/01
2760400057,みなとホームヘルプセンター,06-6572-7898,06-6576-4790,552-0014,大阪市港区八幡屋四丁目８番１号　,社会福祉法人　みなと寮,,,○,,2008/09/01
2760400438,介護ヘルパーステーションやはた,06-7502-2907,06-7505-6329,552-0014,大阪市港区八幡屋一丁目２番９号　 ,ヒルズ株式会社,○,○,○,○,2017/11/01
2760400818,すずらん訪問介護,06-6964-8793,06-6964-8795,552-0014,大阪市港区八幡屋一丁目１２番７－２０１号室　 ,株式会社ジプソフィル,○,○,○,○,2024/12/01
2760400040,在宅ケアセンターすまいる,06-6575-2600,06-6575-2600,552-0016,大阪市港区三先一丁目１０番２８号８０１　,株式会社　すまいる,○,○,○,○,2008/09/01
2760400768,向日葵介護サービス,06-6573-4088,06-6573-4188,552-0016,大阪市港区三先二丁目２０番６６号　 ,魁商事株式会社,○,○,○,○,2023/03/01
2760400016,医療法人徳寿会金山医院ヘルパーステーション,06-6573-6163,06-6573-8872,552-0023,大阪市港区港晴一丁目２番１２号　,医療法人　徳寿会,○,○,○,○,2008/09/01
2765800269,ユアスマイル磯路,06-4395-5765,06-4395-5766,552-0023,大阪市港区港晴一丁目４番９号　第３柴田ビル２０２号室,ユアスマイル株式会社,○,○,○,,2008/09/01
2760400800,希訪問介護,06-6568-9346,06-6568-9350,552-0023,大阪市港区港晴四丁目１３番１１号　 ,合同会社希,○,○,○,○,2024/08/01
2760400834,ケアサービス港灯,06-4394-7562,06-4394-7563,552-0023,大阪市港区港晴一丁目４番１号　やまさメゾン２０１号室,株式会社ＨＡＲＢＯＲ　ＬＩＦＥ,○,○,○,,2026/06/01
2762700306,ケアセンターよつばプラス,06-7494-1294,06-7492-8681,551-0001,大阪市大正区三軒家西１－４－２８－２０１　,一般社団法人よつばプラス,○,○,○,○,2013/04/01
2762700587,介護派遣センターハーモニー,06-6537-7768,06-6537-7764,551-0001,大阪市大正区三軒家西一丁目１７番１８号　メゾンサンロイヤル３０５号,一般社団法人ファイヤー・ハーモニー,○,○,○,○,2020/10/01
2762700108,株式会社ボランチ,06-6554-2324,06-6554-2314,551-0001,大阪市大正区三軒家西一丁目２５－２４　 ,株式会社　ボランチ,○,○,○,○,2008/09/01
2762700694,ｔｗｏＡＣＥケア,06-7777-0872,06-7777-0872,551-0001,大阪市大正区三軒家西三丁目５番２０号　大正メゾン１０３号室,合同会社ｔｗｏＡＣＥ,○,○,○,○,2025/02/01
2762700157,ＮＰＯオレンジコンパス,06-7500-7045,06-7500-7045,551-0001,大阪市大正区三軒家西一丁目４番２１号　サンクライムハイツ１階,特定非営利活動法人　オレンジコンパス,○,○,○,○,2008/09/01
2762700066,ワークスユニオン家族支援,06-4394-7117,06-4394-7116,551-0002,大阪市大正区三軒家東一丁目６番３号　パークハイツ,社会福祉法人　ワークスユニオン,○,○,○,○,2008/09/01
2762700256,ニチイケアセンター大正,06-6556-0860,06-6555-6310,551-0002,大阪市大正区三軒家東五丁目６番７号　和田ビル本館２０１号,株式会社ニチイ学館,○,○,○,○,2010/10/01
2762700629,愛ケアセンター,06-6552-0063,06-6552-0086,551-0002,大阪市大正区三軒家東一丁目７番６ー９０１号　 ,株式会社愛ケアセンター,○,○,○,○,2022/08/01
2762700660,つつじ,06-7503-7264,06-7503-7264,551-0002,大阪市大正区三軒家東一丁目４番３号　 ,カラフル合同会社,○,,○,,2023/12/01
2762700728,訪問介護事業所のあ,080-5760-5051,06-4560-6702,551-0002,大阪市大正区三軒家東四丁目１５番４号　 ,Ａｌｈｅｎａ合同会社,○,○,○,○,2025/11/01
2762700140,ヘルプセンター・スクラム,06-6555-3514,06-6555-3520,551-0002,大阪市大正区三軒家東一丁目１２番２７号　アドヴァンスライフ１０１号,特定非営利活動法人　障害者自立生活センタ－・スクラム,○,○,○,○,2008/09/01
2762700181,エルケア株式会社エルケア大正中央ケアセンター,06-6556-1288,06-6556-1289,551-0003,大阪市大正区千島三丁目１１番１３号　グリタビル４階,エルケア　株式会社,○,○,○,○,2008/09/01
2762700330,訪問介護ステーション　輝らり,06-6554-3331,06-6554-3332,551-0003,大阪市大正区千島三丁目１８番２１号　 ,株式会社　クレッセント,○,○,○,○,2016/05/01
2762700595,エール訪問介護　大正,06-6553-2300,06-6553-2310,551-0003,大阪市大正区千島三丁目４番６号　和光ビル１Ｆ－Ｄ,株式会社ライフクリエーション,○,○,○,○,2021/02/01
2762700355,訪問介護サービスうさぎ,06-6556-4268,06-6556-4268,551-0003,大阪市大正区千島一丁目２３番１３９号　 ,介護サービスうさぎ合同会社,○,○,○,○,2018/12/01
2762700363,てるてる坊主ケアセンター,06-6556-3388,06-6556-3389,551-0003,大阪市大正区千島三丁目１４番１９号　野田ビル３階,株式会社ワンダーライフ,○,○,○,,2019/05/01
2762700371,ヘルパーステーションとある,06-6568-9560,06-6568-9560,551-0003,大阪市大正区千島三丁目２０番８号　 ,Ｖ．ＨＩＳＴＲＹ合同会社,○,○,○,○,2019/11/01
2762700611,ヘルパーステーションねこまる,06-6554-3550,06-6684-8559,551-0003,大阪市大正区千島一丁目２７番２２号　 ,合同会社あおい,○,○,○,○,2022/06/01
2762700702,ヘルパーステーション　色えんぴつ,080-8940-2325,06-7222-2612,551-0003,大阪市大正区千島一丁目９番１５号　市栄マンション１０１号室,合同会社なないろ,○,○,○,○,2025/06/01
2762700710,訪問介護　リコリオ,06-6695-7607,06-6695-7608,551-0003,大阪市大正区千島三丁目２０番８号　２階,合同会社リコリオ,○,○,○,○,2025/07/01
2762700017,サンテル訪問介護サービス,06-6556-1688,06-6556-1689,551-0011,大阪市大正区小林東三丁目５番２２号　 ,合資会社　サンテル,○,○,○,○,2008/09/01
2762700199,訪問介護事業所イシイサポート,06-6551-3663,06-6551-3911,551-0011,大阪市大正区小林東３－１４－１　,有限会社　石井商会,○,○,○,○,2008/09/01
2762700280,介護センターココ,06-6556-9452,06-6556-9453,551-0011,大阪市大正区小林東三丁目８番１２号　 ,株式会社介護センターココ,○,○,○,○,2012/11/01
2762700298,ケア２１大正平尾,06-6553-0121,06-6553-2321,551-0012,大阪市大正区平尾四丁目２３番１８号　石川屋ビル３階,株式会社　ケア２１,○,○,○,○,2013/03/01
2762700090,訪問介護サービス平安名,06-6552-1881,06-6552-1883,551-0012,大阪市大正区平尾三丁目２３番２０号　 ,有限会社　平安名,○,○,○,○,2008/09/01
2762700652,ホームヘルプサービスぶるねこ,06-6710-9098,06-6710-9091,551-0012,大阪市大正区平尾五丁目１１番５号　大正スカイテラス１階,合同会社ばんどう,○,○,○,○,2023/05/01
2762700637,ケアこころ,06-6599-8464,06-6599-8463,551-0013,大阪市大正区小林西二丁目２番１２号　小林木造事務所１０３号室,合同会社こころ,○,○,○,○,2022/08/01
2762700645,ヘルパーステーション笑み家,06-7506-9569,06-7506-9570,551-0013,大阪市大正区小林西二丁目１１番１０号　 ,株式会社笑み家,○,○,○,○,2022/09/01
2762700686,訪問介護くくる,06-6554-9693,06-6554-9693,551-0013,大阪市大正区小林西二丁目１８番５号　 ,株式会社くくる,○,○,○,,2024/10/01
2762700124,合資会社ポコ・ア・ポコ,06-6551-2216,06-6551-1970,551-0021,大阪市大正区平尾４－２０－１７　,株式会社　ポコ・ア・ポコ,○,○,○,○,2008/09/01
2762700116,リリーケアセンター,06-6555-8235,06-6555-8236,551-0021,大阪市大正区南恩加島二丁目２番４号　エフティーマンション１Ｆ,有限会社　リリー,○,○,○,○,2008/09/01
2762700082,三愛,06-6551-2454,06-6551-2454,551-0021,大阪市大正区南恩加島六丁目３番１号　ボンジュール南恩加島５０６号室,有限会社　三愛,○,○,○,○,2008/09/01
2762700603,訪問介護グランツ大正,06-6552-5025,06-6552-5026,551-0021,大阪市大正区南恩加島三丁目１７番２５号　シレーヌ大正２０１号室,株式会社ＨＡＰＰＹ　ＦＯＲＥＳＴ,○,○,○,○,2021/11/01
2762700041,ライフサポート優訪問介護,06-6551-7358,06-6551-7616,551-0023,大阪市大正区鶴町一丁目４番１９号　,合資会社　ライフサポート優,○,○,○,○,2008/09/01
2762700165,ケア２１大正,06-6556-3551,06-6556-3552,551-0031,大阪市大正区泉尾３－１３－５　田中ビル３０１号,株式会社　ケア２１,○,○,○,○,2008/09/01
2762700025,ハーベスト介護サービス,06-6552-8035,06-6955-8258,551-0031,大阪市大正区泉尾四丁目１６番２０号　 ,株式会社　ハーベスト,○,○,,○,2008/09/01
2762700322,ヘルパーステーション　浜ちゃん,06-6554-8808,06-6554-8809,551-0031,大阪市大正区泉尾四丁目１４番１６号　 ,株式会社　ほほえみ,○,○,○,○,2015/09/01
2763303233,ヘルパーステーションＭＵＳＵＢＩ,06-6556-9298,06-6556-9298,551-0031,大阪市大正区泉尾二丁目１５番４号　 ,株式会社結の杜,○,○,○,○,2022/04/01
2762700736,心笑の家,06-6684-9977, ,551-0031,大阪市大正区泉尾三丁目２番１７号　スリースター泉尾１０１号,株式会社心笑の家,○,○,○,○,2026/04/01
2769400025,フジックス訪問介護事業所,06-6768-1771,06-6767-5310,543-0001,大阪市天王寺区上本町五丁目５番１５号　東海ビル上本町７０２号室,Ｆｕｊｉｘ　有限会社,○,○,○,○,2008/09/01
2761700133,優ケアセンター,06-6776-8574,06-6776-8575,543-0001,大阪市天王寺区上本町八丁目８番３号　山和ビル１０１号,株式会社　ＩＳＡＯコーポレーション,○,○,○,○,2008/09/01
2761700125,えがおケアセンター,06-6776-4715,06-6776-4716,543-0001,大阪市天王寺区上本町八丁目４番１１号　ＫＩＭＵＲＡビル４Ｆ,株式会社　えがお,○,○,○,,2008/09/01
2761700117,介護オーシャン,06-6767-6631,06-6767-6601,543-0001,大阪市天王寺区上本町五丁目１番１号　メゾン大央２階,株式会社　オフィス・キタジマ,○,○,○,○,2008/09/01
2761700232,夕陽ヶ丘ケアサービス訪問介護事業所,06-6771-3015,06-6772-3015,543-0001,大阪市天王寺区上本町９－６－２３　,有限会社　夕陽ヶ丘ケアサービス,○,○,○,○,2011/02/01
2769400348,障害者支援ステーション豆の樹,06-4305-3405,06-4305-3406,543-0001,大阪市天王寺区上本町八丁目７番１０－５０７号　 ,合同会社豆の樹,○,○,○,○,2013/10/01
2761700802,訪問介護Ｕｐ,080-3607-1664,06-6720-9934,543-0001,大阪市天王寺区上本町四丁目１番１６ー３０５号　上本町オレンジビル,合同会社エブリス,○,○,○,○,2026/06/01
2762000608,医療法人真芳会いきいきヘルパーステーション我孫子,06-6629-8712,06-6693-2370,543-0002,大阪市天王寺区上汐六丁目３番１１号　いきいき倶楽部館　夕陽ヶ丘　２階,医療法人　真芳会,○,○,○,○,2010/09/01
2761700398,チークケア天王寺,06-6779-5100,06-6779-5101,543-0002,大阪市天王寺区上汐三丁目１番２５号　モリビル６Ｆ,玉井商事株式会社,○,○,○,○,2016/07/01
2761700059,ＰｅａｃｅＨｅａｒｔ,06-6764-0543,06-6764-0564,543-0011,大阪市天王寺区清水谷町２０番４号　,有限会社　ＰｅａｃｅＨｅａｒｔ,○,○,○,○,2008/09/01
2761700679,りあんサポート,06-6764-0145,06-6764-0188,543-0011,大阪市天王寺区清水谷町１７番２１号　アミクス清水谷２階,合同会社スペースケアサポート,○,○,○,○,2021/04/01
2761700026,特定非営利活動法人ひかり介護サービスセンター,06-6765-4517,06-6765-4616,543-0013,大阪市天王寺区玉造本町１４番９０号　結城ビル２階,特定非営利活動法人　ひかり介護サービスセンター,○,○,,○,2008/09/01
2769400504,医療的ケアステーションかめ,06-6770-5538,06-6767-8030,543-0014,大阪市天王寺区玉造元町１３－１　１階,株式会社　硲,○,○,○,○,2015/11/01
2761700406,知器,06-6710-4032,06-6710-4729,543-0014,大阪市天王寺区玉造元町２番２２号　グラン・ドムール玉造５１１,株式会社　アニバーサリー,○,○,○,○,2016/08/01
2761700190,あいラブ天王寺ケアセンター,06-6762-7077,06-6762-7767,543-0015,大阪市天王寺区真田山町２番２号　東興ビル２０２号,株式会社　ｃｒｅｓｃｅｎｔ,○,○,○,○,2010/04/01
2761700778,情ケアセンター,06-6796-8385,06-6796-8386,543-0017,大阪市天王寺区城南寺町５番３４号　ニューライフ赤坂８０３号,ＢＲＡＮＣＨ合同会社,○,○,○,○,2025/06/01
2761700091,ケア２１天王寺,06-6764-9131,06-6764-9132,543-0021,大阪市天王寺区東高津町３番６号　ドマリ東高津２０１号室,株式会社　ケア２１,○,○,○,○,2008/09/01
2761700711,ＯＮＥ　ＨＯＭＥ,0745-76-5859,0745-76-5859,543-0021,大阪市天王寺区東高津町３番１３号　天川ビル４０３号,株式会社ＭＩＹＡＢＩ,○,○,○,,2023/09/01
2761700794,創造ガイドサービス天王寺,06-7181-1269,06-7890-0767,543-0024,大阪市天王寺区舟橋町１１番２号　中島ビル２０３号,合同会社ＮＲ　Ｌｉｖｉｎｇ,○,○,○,,2026/05/01
2761700067,はすとわ,06-6765-5655,06-6765-5733,543-0024,大阪市天王寺区舟橋町２０番２１号　,有限会社　エイチジー,○,○,○,○,2008/09/01
2764300865,しきつの杜,06-7897-8275,06-7897-8727,543-0031,大阪市天王寺区石ケ辻町五丁目１３番　オリエントシティ上六５０１号室,一般社団法人しきつの杜,○,○,,○,2020/04/01
2761700448,ヘルパーステーションやすらぎ,06-6777-7817,06-6777-7818,543-0031,大阪市天王寺区石ケ辻町２番１号　シャトーウエダ２１０号,株式会社エルシード,○,○,○,○,2018/06/01
2761700380,ヘルパーステーションカラー,06-7710-5314,06-7710-5314,543-0033,大阪市天王寺区堂ケ芝一丁目３番３４号　プレアデス堂ヶ芝２０１,ｌｕａ合同会社,○,○,○,○,2016/01/01
2761700786,ケアステーション　ハナ,06-6772-1155,06-6772-1156,543-0033,大阪市天王寺区堂ケ芝一丁目３番３号　１Ｆ,合同会社Ｆｅａｓｔ,○,○,○,○,2025/09/01
2761700760,ひやくグループ夕陽ヶ丘ステーション,06-7634-7336,06-7634-7336,543-0034,大阪市天王寺区松ケ鼻町１０番７号　ノバドミネックス天王寺１０２号,株式会社ひやくグループ,○,○,○,○,2025/04/01
2761700745,トランプ居宅介護事業所,06-5770-5111,06-6776-2333,543-0037,大阪市天王寺区上之宮町１１番１５号　２階,株式会社トランプ不動産,○,○,○,○,2024/11/01
2761700422,生き活き倶楽部,06-6779-1700,06-6779-6002,543-0045,大阪市天王寺区寺田町二丁目６番２号　東大阪ビル４階,株式会社生き活き倶楽部,○,○,○,○,2017/08/01
2761700703,ありい・ケアサービス,06-4967-8495,06-7892-0786,543-0052,大阪市天王寺区大道三丁目８番７号　９０４号室,株式会社ＴＡＮ,○,○,○,○,2022/11/01
2761700729,訪問介護アペンド,06-6796-8514,06-6796-8515,543-0052,大阪市天王寺区大道一丁目１１番２０号　ＡＸＩＳＬＩＦＥ四天王寺８Ｂ,合同会社ケーモ,○,○,○,○,2024/06/01
2761700737,訪問介護事業所アズワン　天王寺店,06-6718-5913,06-6718-5916,543-0052,大阪市天王寺区大道一丁目７番１１－３０２号　 ,株式会社Ｌｉｂ,○,○,○,○,2024/08/01
2762300339,ヘルプセンター・ムーブメント,06-4302-5204,06-4302-5243,543-0052,大阪市天王寺区大道三丁目１番２６号　 ,ＮＰＯ法人ムーブメント,○,○,○,○,2010/11/01
2761700331,スバコ　ヘルプサービス,06-4305-7571,06-4305-7571,543-0071,大阪市天王寺区生玉町１１番２９号　朝日プラザ１　１５０５号,株式会社スバコ・ライフ・スタイリング,○,○,○,○,2014/01/01
2761700372,クオーレ介護センター,06-6777-7293,06-6777-8001,543-0071,大阪市天王寺区生玉町１０番２０号　朝日プラザ高津Ⅱ３０４,株式会社　クオーレ,○,○,,○,2016/01/01
2761700414,訪問介護事業所ジャムケア,06-6123-7541,06-7635-9276,543-0071,大阪市天王寺区生玉町１１番２９号　朝日プラザ高津Ｉ　３１５号,株式会社ＪＡＭ,○,○,○,○,2017/05/01
2761700109,エルケア株式会社エルケア天王寺ケアセンター,06-6776-9205,06-6776-9206,543-0072,大阪市天王寺区生玉前町３番２５号　タマダビル７０２号,エルケア　株式会社,○,○,○,○,2008/09/01
2761700695,発達領域公助綜合研究所,06-4400-5498,06-4400-5499,543-0072,大阪市天王寺区生玉前町５番２８－９０３号　 ,合同会社倶蘭堂,○,○,○,○,2022/07/01
2764300618,介護センターおでん,06-6616-9624,06-6616-9710,556-0001,大阪市浪速区下寺三丁目３番１２号　 ,株式会社シンキングステッキ,○,○,○,○,2019/07/01
2764300626,訪問介護ミミ,06-6695-7845,06-6695-7846,556-0002,大阪市浪速区恵美須東一丁目１５番１－３０１号　 ,株式会社弥弥,○,○,○,○,2019/09/01
2764300261,くまさん介護サービス,06-6633-1228,06-6643-9029,556-0003,大阪市浪速区恵美須西三丁目１１番１１号　 ,株式会社　クマさん,○,○,○,,2011/04/01
2763300593,株式会社チェリー,06-6647-3108,06-6647-3109,556-0003,大阪市浪速区恵美須西三丁目１３番３０号　ドムスコンタアト１Ｆ,株式会社　チェリー,○,○,○,○,2008/09/01
2764300014,ファニー介護サービス,06-4396-6561,03-4396-6562,556-0003,大阪市浪速区恵美須西二丁目１１番３号　,株式会社　ファニー,○,○,,○,2008/09/01
2764300329,ヘルパーステーション　かじつ,06-6537-9191,06-6537-9171,556-0003,大阪市浪速区恵美須西１－３－３－４Ｆ　,株式会社　佳実,○,○,○,○,2013/01/01
2765500125,ケア柚の葉,06-4398-9909,06-4398-9908,556-0003,大阪市浪速区恵美須西二丁目１１番１１号　Ｒｉｔｚ　ＳＱＵＡＲＥ　Ｇａｔｅ　Ｑｂｅ　７０５号,合同会社柚の葉,○,○,○,○,2014/03/01
2764300444,元気百倍ネット,06-6636-7784,06-6636-7754,556-0003,大阪市浪速区恵美須西三丁目３番２６号　マンションセイコウ２０８号,株式会社　Ｂｅａｒ,○,○,○,,2015/12/01
2764300584,あゆきあ介護サービス,06-6636-8048,06-6636-8072,556-0003,大阪市浪速区恵美須西二丁目８番１８号　サンピアユタカビル５Ｄ,セイコー柳合資会社,○,○,○,○,2018/04/01
2764300105,介護センタープリズム,06-6643-0073,06-6643-0073,556-0005,大阪市浪速区日本橋三丁目１番２７号　サンコーポ日本橋２０３号,株式会社　キッチン梅田,○,○,○,○,2008/09/01
2764300956,訪問介護れんげ,06-6536-8748,06-6536-8748,556-0005,大阪市浪速区日本橋五丁目１３番９号　三越ビル２０１号,合同会社れんげ,○,○,○,○,2022/02/01
2764300188,訪問介護ステーションあんり,06-6635-3800,06-6635-3801,556-0006,大阪市浪速区日本橋東一丁目１番３号　メディケア日本橋２０１号,株式会社　アンリ,○,○,○,○,2008/09/01
2762301238,はるか訪問介護事業所,06-7777-0158,06-7777-0157,556-0006,大阪市浪速区日本橋東二丁目９番１６号　オリエンタル日本橋３０２号,株式会社はるか介護センター,○,○,○,○,2024/05/01
2764301111,訪問介護ステーション　ぱんじー,06-4400-3404,06-4400-3468,556-0006,大阪市浪速区日本橋東三丁目１５番３号　ハイツクシノ１０２号室,株式会社Ｋｉｍｂｅｒｌｙ,○,○,○,○,2024/09/01
2764300113,訪問介護　さくらんぼ,06-6636-0300,06-6636-0300,556-0011,大阪市浪速区難波中三丁目１６番１１号　ニューナンバビル新館５５２,有限会社さくらんぼ,○,○,○,○,2008/09/01
2764301194,ＣＯＣＯｔｏあべの,06-6563-9837,06-6537-1597,556-0011,大阪市浪速区難波中三丁目６番１２号　ナンバグランドビル６０２号室,株式会社ＣＯＣＯ,○,○,○,○,2026/04/01
2764300998,訪問介護　きゃすばる,06-6631-2323,06-6631-2388,556-0012,大阪市浪速区敷津東一丁目７番１３号　第三辻本ビル２０３号,株式会社ｐａｐｔｉｍｕｓ,○,○,○,,2023/02/01
2764300071,パーティ・パーティ,06-6649-0455,06-6649-0455,556-0012,大阪市浪速区敷津東三丁目６番１０号　,特定非営利活動法人　日常生活支援ネットワーク,○,○,○,○,2008/09/01
2764300576,ＳＫＹ,06-7494-3042,06-7494-3042,556-0012,大阪市浪速区敷津東三丁６番１０号２階　 ,特定非営利活動法人　日常生活支援ネットワーク,○,○,○,○,2018/02/01
2763300338,有限会社鈴,06-6648-6150,06-6648-6151,556-0013,大阪市浪速区戎本町１丁目９番２１号　酒井家ビル３号館４階１号室,有限会社　鈴,○,○,○,,2008/09/01
2764300980,ケアセンター心温,06-6563-9653,06-6563-9654,556-0013,大阪市浪速区戎本町一丁目６番２２号　ニューサノビル４０３,株式会社Ｓｈｉｏｎ,○,○,○,○,2022/12/01
2764301129,訪問介護ステーショングリーンナイン,070-4177-6695, ,556-0013,大阪市浪速区戎本町二丁目８番９号　 ,株式会社グリーンナイン,○,○,○,,2025/02/01
2764300048,介助派遣きじむなあ,06-6647-2077, ,556-0014,大阪市浪速区大国一丁目１１番１号　,社会福祉法人　ピースクラブ,○,○,○,○,2008/09/01
