移動支援,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日,,
2760300018,隆光学園“輝き”ステーション,072-837-0101,072-837-0102,572-0018,寝屋川市境橋町２７番６号　,社会福祉法人　光輝会,,,,,2008/09/01,,
2760300042,ＮＰＯ法人日本ファミリー協会いこいの里,072-802-9090,072-802-9091,572-0018,寝屋川市境橋町１番２７号　大作ビル３０５号,特定非営利活動法人　日本ファミリー協会,,,,,2008/09/01,,
2760300232,すずがみケア,072-3957-7248,072-3957-7248,572-0024,寝屋川市石津南町３番６号　 ,株式会社すずがみ,○,○,○,○,2023/04/01,,
2760300059,ケア２１寝屋川,072-397-1095,072-801-8751,572-0039,寝屋川市池田３－９－５　,株式会社　ケア２１,○,○,○,○,2008/09/01,,
2760300240,ヘルパーステーション　とらすと,072-812-5644,072-812-5645,572-0071,寝屋川市豊里町４０番１５号　 ,合同会社トラスト,○,○,○,○,2025/10/01,,
2760300125,あみ,072-813-9870,072-813-9871,572-0077,寝屋川市点野三丁目３０番１１号　 ,株式会社あみ,○,○,○,○,2019/07/01,,
2760300117,イノベ,072-811-0501,072-811-0505,572-0814,寝屋川市堀溝一丁目２２番４号　 ,株式会社イノベーション,○,○,○,○,2017/08/01,,
2760300257,ＬＩＢｉ　ＨＯＭＥ　ヘルパーサービス,072-813-8444,072-813-8788,572-0835,寝屋川市日之出町１０番３４号　 ,合同会社ＬＩＢｉ,○,○,○,○,2025/12/01,,
2763200199,おはな,06-6906-2388,06-6914-4078,572-0838,寝屋川市八坂町２７番２号　 ,有限会社　安岡,,,,,2012/09/01,,
2763600026,訪問介護　いちご,072-395-1979,072-395-1979,572-0853,寝屋川市大谷町１番３２号　 ,株式会社　あゆみ,○,○,○,○,2015/05/01,,
2760300026,ヘルパーステーションさんら,072-820-6151,072-820-6151,572-0866,寝屋川市小路南町８－２　,社会福祉法人　讃良福祉会,,,,,2008/09/01,,
2762400089,カトレア訪問介護サービス,072-805-5202,072-805-5203,573-0022,枚方市宮之阪３丁目１番２５号　,有限会社　カトレア介護サービス,,,,,2012/09/01,,
2762400147,訪問介護花きりん,072-807-5377,072-807-5378,573-0022,枚方市宮之阪五丁目３番５号　 ,合同会社　花きりん,○,○,○,,2015/09/01,,
2762400014,特定非営利活動法人遊びりテーションわくわく枚方,072-805-0901,072-805-0901,573-0022,枚方市宮之阪五丁目５番１９号　,特定非営利活動法人　遊びりテーションわくわく枚方,,,,,2008/09/01,,
2762400105,株式会社　晴天,072-843-2338,072-843-2338,573-0027,枚方市大垣内町三丁目３番７号　第１浜田ビル３０３号,株式会社　晴天,○,○,○,○,2013/08/01,,
2762400287,ケアライフ,072-844-3633,072-844-5710,573-0051,枚方市三矢町２番１０号　 ,株式会社ケアライフ,○,○,○,○,2020/07/01,,
2762400360,ベルビー,072-804-3435,072-804-3448,573-0051,枚方市三矢町２番１０号　 ,特定非営利活動法人ベルビー,○,○,○,○,2026/04/01,,
2762400121,ライフサポート　スマイル,072-843-0004,072-843-0005,573-0062,枚方市伊加賀栄町１３番８－１０１号　 ,特定非営利活動法人　幸優会,○,○,○,○,2015/07/01,,
2762400337,あん介護サービスステーション,072-812-5113,072-812-5114,573-0063,枚方市走谷二丁目２０番２号　 ,株式会社蓮,○,○,○,○,2024/05/01,,
2762400097,株式会社元気もっと,072-860-1777,072-860-1776,573-0076,枚方市東香里元町１０番４号　,株式会社元気もっと,,,,,2012/09/01,,
2762400295,あおば,072-802-3555,072-802-3556,573-0094,枚方市南中振一丁目１０番１６号　２階,一般社団法人乃庵,○,○,○,○,2020/12/01,,
2762400071,かなえケアサービス,072-851-3904,050-1167-3904,573-0162,枚方市長尾西町二丁目６７番２号　 ,合同会社かなえ,,,,,2009/02/01,,
2762400345,ケア２１長尾,072-866-3721,072-866-3821,573-0163,枚方市長尾元町五丁目８番１号　ＮＳビル４０１号室,株式会社　ケア２１,○,○,○,○,2024/12/01,,
2762400311,岡本商店,072-894-8476,072-894-8479,573-0163,枚方市長尾元町二丁目１３番２８－１０５号　 ,株式会社岡本商店,○,○,○,○,2023/09/01,,
2762400139,ウイング介護ステーション,072-868-4555,072-868-4666,573-1104,枚方市楠葉丘一丁目５３番２０号　ドミールアーク１０１号室,株式会社ウイング,○,○,○,○,2015/09/01,,
2762400303,ライフ・サポートさくら,072-851-3350,072-851-0599,573-1125,枚方市養父元町２番１１号　 ,株式会社さくら,○,○,○,○,2022/05/01,,
2762400352,Ｔｋ－Ｔｗｏ,090-7857-4108, ,573-1152,枚方市招提中町１丁目１５番１号　 ,合同会社Ｔｋ－Ｔｗｏ,○,○,○,○,2025/10/01,,
2762400063,エヌピーオー法人コスモス医療福祉協会ヘルパーステーション,072-898-6688,072-898-0033,573-1157,枚方市片鉾本町１５番４１号　ベルエールⅡ１－１号,特定非営利活動法人コスモス医療福祉協会,○,○,○,○,2008/12/01,,
2762400170,ヘルパーステーション三好,072-864-0456,072-864-0457,573-1163,枚方市甲斐田新町１６番１０号　大村コーポ１　１０４号,合同会社野乃花,○,○,○,○,2019/04/01,,
2762400113,あすなろ訪問介護,072-840-2740,072-840-2840,573-1182,枚方市御殿山町６番１９号　２階,あすなろ介護株式会社,○,○,○,○,2016/11/01,,
2762400154,トータルケア明,072-840-2072,072-840-2072,573-1192,枚方市西禁野二丁目４番１７号　第５松葉ビル１０２号室,特定非営利活動法人あざみ,○,○,○,○,2016/09/01,,
2761904016,ポイントアート四條畷,072-814-9650,072-814-9650,574-0011,大東市北条二丁目１８番７号　 ,合同会社アイグルー,○,○,○,○,2017/12/01,,
2761900055,ヘルパーステーションいしずえ,072-876-1936,072-876-6442,574-0011,大東市北条五丁目２番１５号　 ,自立生活センターいしずえ,○,○,○,○,2016/02/01,,
2761900238,のんのん,072-800-8556,072-800-8565,574-0015,大東市野崎一丁目９番５号　隅田マンション１０２号,株式会社わらみ,○,○,○,○,2020/07/01,,
2761900261,ヘルパーステーションスイート大東野崎,072-812-7217,072-812-7216,574-0015,大東市野崎一丁目６番２１号　 ,株式会社ペイ・フォワード,○,○,○,○,2025/05/01,,
2761900253,ケア・ステーションさり,080-2525-2765, ,574-0042,大東市大野一丁目１６番３０号　ジュネス１０１号室,合同会社紗鈴,○,○,○,○,2024/12/01,,
2761900246,杏（あんず）,072-812-7601,072-812-7601,574-0046,大東市赤井一丁目１０番２号　 ,合同会社シトリン,○,○,○,○,2024/08/01,,
2761900030,ベスト訪問介護センター,072-871-3570,072-875-2645,574-0062,大東市氷野３－１－２４　,三起商運株式会社,,,,,2008/09/01,,
2761900022,トップハート大東,072-806-8177,072-806-8188,574-0077,大東市三箇四丁目１２番２３号　三由ハイツＣ－２０３号,株式会社　ケイ・アンド・エムソリューション,,,,,2008/09/01,,
2765700204,かえで,072-803-7974,072-803-7975,575-0002,四條畷市岡山五丁目７番９号　 ,合同会社Ｒ．ＦＲＥＥ,○,○,○,○,2020/07/01,,
2765700238,ころいろケア,072-380-4381,072-395-9309,575-0002,四條畷市岡山二丁目１３番４号　 ,株式会社ころいろ,○,○,○,○,2026/01/01,,
2765000498,おーぷんはぁと介護サービス,06-6748-8077,06-6748-8087,577-0004,東大阪市稲田新町二丁目２番２８号　ＮＹビル,株式会社おーぷんはぁと,○,○,○,○,2012/09/01,,
2765001306,ライフサポートあさひ,072-963-5511,072-963-5588,577-0011,東大阪市荒本北二丁目５番５号　 ,株式会社旭,○,○,○,○,2024/11/01,,
2765000779,あっぷる村ケアセンター,06-6785-7207,06-6785-7217,577-0011,東大阪市荒本北一丁目６番１１号　シティハウスなかの３０１号室,株式会社あっぷる村,○,○,○,○,2017/09/01,,
2765000381,ＮＰＯ法人まごころの会,06-6789-3635,06-6789-9958,577-0015,東大阪市長田３丁目４番３５号　,特定非営利活動法人日本総合福祉支援協会,,,,,2011/06/01,,
2765001249,ヘルパーステーションのあ,06-6618-2721,06-6618-2723,577-0022,東大阪市荒本新町６番３６号　デイグランロイヤルヴィラ８０９号,有限会社ろくぶんぎ,○,○,○,,2023/11/01,,
2765000225,ヤンググリーン地域支援室　木かげ,06-6789-8585,06-6789-8501,577-0023,東大阪市荒本一丁目４番３２号　 ,社会福祉法人　ヤンググリーン,○,○,○,○,2008/09/01,,
2765000902,介護ヘルパーステーションいこま,06-7165-6458,06-7181-0293,577-0036,東大阪市御厨栄町二丁目６番１号　アペックスハイツ・ユニ２０３号室,ヒルズ株式会社,○,○,○,○,2019/04/01,,
2765000506,ハッピー・ケア・サポート訪問介護事業所,06-6788-0701,06-6788-0707,577-0045,東大阪市西堤本通東二丁目３番２５－１０１号　 ,有限会社ハッピー・ケア・サポート,○,○,○,,2012/09/01,,
2765001314,ケアセンターふわり,06-6753-8129,06-6753-8139,577-0045,東大阪市西堤本通東一丁目１番１号　東大阪大発ビル７１２－１,株式会社ｙ．ｔｒｅｅ,○,○,○,○,2024/11/01,,
2765000829,幸ハートケア,06-4306-3324,06-4306-3403,577-0053,東大阪市高井田４番１６号　 ,株式会社幸,○,○,○,○,2018/03/01,,
2765000084,ぴよぴよ会,06-6783-0404,06-6783-0401,577-0054,東大阪市高井田元町二丁目７番６号　 ,特定非営利活動法人　ぴよぴよ会,,,,,2008/09/01,,
2765000555,Ｂａｍｂｉｎｏ　ｖｉｓｔａ,06-6787-3337,06-6787-3344,577-0058,東大阪市足代北二丁目７番５号岬ビル２階　,ヴェローナケア株式会社,○,○,○,○,2013/07/01,,
2765000324,スマイルケア,06-7891-0266,06-7891-0266,577-0801,東大阪市小阪２－１５－１４－３０８　,Ｍ＆Ｓ株式会社,,,,,2010/08/01,,
2765000522,やさしい手東大阪,06-6618-8830,06-6618-8831,577-0801,東大阪市小阪３丁目４番５４号　,株式会社日健マネジメント,,,,,2012/10/01,,
2765001157,アミイ介護,06-4308-4983,06-4308-4376,577-0801,東大阪市小阪二丁目４番２５－１０１号　 ,合同会社アミイ介護,○,○,○,○,2021/06/01,,
2765000209,特定非営利活動法人フリー・あ・ステージ,06-6785-7617,06-6785-7617,577-0801,東大阪市小阪１－１２－１２　小阪駅前コーポ３１４号,特定非営利活動法人　フリー・あ・ステージ,,,,,2008/09/01,,
2765000456,自立生活支援たんぽぽ,06-6787-3166,06-6787-3166,577-0801,東大阪市小阪１丁目１０番２４号　,特定非営利活動法人共に自立あくしょん,,,,,2011/12/01,,
2765000845,つなぐ介護ステーション東大阪,050-3610-9847,06-6729-0051,577-0802,東大阪市小阪本町一丁目７番８号　越智ビル１階,株式会社ハッピーライフ,○,○,○,○,2018/05/01,,
2765000720,ヘルパーステーション　シャローム,06-6224-4860,06-6224-4861,577-0802,東大阪市小阪本町一丁目２番８号　小阪ビル４階２号,特定非営利活動法人ベタニヤ村,○,○,○,○,2016/07/01,,
2765000860,青空ヘルパーステーション,06-6722-1970,06-6722-1971,577-0803,東大阪市下小阪五丁目１０番１２号　コーポ谷村Ⅰ１０６号,株式会社ＴＴＣ,○,○,○,○,2018/06/01,,
2765000878,特定非営利活動法人ジャンボ,06-6728-0843,06-6728-0846,577-0806,東大阪市上小阪二丁目１番１７号　 ,特定非営利活動法人ジャンボ,○,○,○,,2018/10/01,,
2765000373,ぶらぶ～ららいふさぽーと,06-6784-6012,06-6784-6013,577-0807,東大阪市菱屋西５丁目２－１　ジェイルミナ小阪６階,社会福祉法人インクルーシヴライフ協会,,,,,2011/05/01,,
2765001199,ケア２１東大阪,06-6783-8105,06-6783-8107,577-0807,東大阪市菱屋西六丁目４番４１号　シャルム小阪壱番館１０１号,株式会社　ケア２１,○,○,○,○,2023/03/01,,
2765001108,スピリッツ介護センター,06-6724-0412,06-6724-0448,577-0807,東大阪市菱屋西三丁目１番１号　 ,株式会社訪問看護ステーションフロンティア,○,○,○,○,2020/06/01,,
2765001272,さくらケアステーション,06-6724-1120,06-6724-1120,577-0807,東大阪市菱屋西一丁目１３番３１号　 ,株式会社さくら,○,○,○,○,2024/04/01,,
2765000936,ひなたぼっこヘルパーセンター,06-6722-8790,06-6722-8792,577-0808,東大阪市横沼町一丁目１３番５号　 ,特定非営利活動法人ひなたぼっこ,○,○,○,○,2019/06/01,,
2765000852,はるかぜ介護センター,06-6748-0633,06-6748-0634,577-0809,東大阪市永和一丁目１０番２４号　 ,合同会社はるかぜ,○,○,○,○,2018/06/01,,
2765000514,ヘルパーステーションオアシス長瀬,06-6723-6553,06-6723-6588,577-0818,東大阪市小若江２丁目９番２９号　,社会福祉法人　大和福寿会,○,○,○,○,2012/10/01,,
2765000928,ヘルパーステーションはるひ,06-6732-4173,06-6732-4177,577-0818,東大阪市小若江一丁目８番３号　 ,株式会社たいせい,○,○,○,,2019/05/01,,
2765001264,８ｈｏｏｄ,06-4306-3912,06-4306-3913,577-0822,東大阪市源氏ケ丘１５番２０号　 ,ＫＹＳＨ－８株式会社,○,○,○,○,2024/04/01,,
2765000423,あさがおケアステーション東大阪,06-6727-7841,06-6727-7865,577-0824,東大阪市大蓮東５－１５－２１　,有限会社シー・エス・ジェイ,,,,,2011/10/01,,
2765000316,ひふみ介護,06-7897-5200,06-7897-5779,577-0825,東大阪市大蓮南１－２－２２　,株式会社一二三,○,○,○,○,2010/08/01,,
2765001256,訪問介護ソレイユ,06-6224-3311,06-6224-3322,577-0826,東大阪市大蓮北三丁目７番２４号　 ,合同会社叶和,○,○,○,○,2024/03/01,,
2765000613,訪問介護リリー,06-6748-0853,06-6748-0859,577-0827,東大阪市衣摺四丁目４番３２号　 ,合同会社ｇｒａｃｉｏｕｓ,○,○,○,○,2014/01/01,,
2765001173,ケアステーションひまわり,06-6730-8870,06-6730-8870,577-0827,東大阪市衣摺三丁目１７番６号　Ｈａｐｐｉｎｅｓｓ　ｃｏｕｒｔ衣摺１０４号室,合同会社Ｒｅａｌｉｓｅ,○,○,○,○,2022/06/01,,
2765001207,ケアセンター和,06-6743-7585,06-6743-7832,577-0827,東大阪市衣摺三丁目６番１号　 ,株式会社和,○,○,○,○,2023/03/01,,
2762200836,介護サービス　かがやき,06-6736-5546,06-6736-5548,577-0837,東大阪市寿町一丁目１番３５号　 ,合同会社　かがやき,○,○,○,○,2013/01/01,,
2765000043,あんしんヘルプサービス「東大阪西」,06-6720-3045,06-6720-3046,577-0843,東大阪市荒川二丁目１－１６　,株式会社　アスキーネット,,,,,2008/09/01,,
2765000431,ノーサイド介護支援センター,06-6736-1515,06-6736-1516,577-0843,東大阪市荒川二丁目８番２６号　 ,株式会社ノーサイド,,,,,2011/11/01,,
2765001223,ヘルパーステーションＤｏｎｔｏｍ,072-983-5966,072-983-6997,578-0901,東大阪市加納七丁目９番１５号　 ,株式会社ＡＴＳ,,○,○,○,2023/04/01,,
2765000191,株式会社　かめのやケアサービス,072-921-6787,072-921-6784,578-0924,東大阪市吉田八丁目６番４号　 ,株式会社　かめのやケアサービス,,,,,2008/09/01,,
2765000076,自立生活支援センター「わくわく」,072-968-1556,072-968-1557,578-0931,東大阪市花園東町一丁目１７番３０号　,社会福祉法人　創思苑,,,,,2008/09/01,,
2765000464,ヘルプセンタ―りある,06-7175-0473,06-7171-4135,578-0935,東大阪市若江東町三丁目３番４７号　 ,株式会社りある,○,○,○,○,2012/05/01,,
2765000597,なないろの絆　居宅介護事業所,072-976-4701,072-976-4702,578-0941,東大阪市岩田町五丁目１番２２号　吉田ハイツ１階,合同会社なないろの絆,○,○,○,○,2013/11/01,,
2765001280,和久ヘルパーステーション,072-968-8396,072-943-4317,578-0941,東大阪市岩田町五丁目２番３７号　 ,合同会社和久,○,○,○,○,2024/06/01,,
2765001322,訪問介護ステーションマザーハウス,06-7893-7732,06-7896-1856,578-0941,東大阪市岩田町三丁目１４番１１号　サンコーヨー１０１号,株式会社マザーハンド,○,○,○,○,2025/10/01,,
2765000910,ケアサービス和,06-4981-7186,06-4981-7186,578-0942,東大阪市若江本町二丁目２番１号　ＧＬマンション２０１,ＹＫ株式会社,○,○,○,○,2019/04/01,,
2765014127,サポートセンター　Ｎｅｓｓｉｅ,06-6748-0056,06-6748-0059,578-0946,東大阪市瓜生堂二丁目１番６３号　 ,株式会社Ｎｅｓｓｉｅ,○,○,○,○,2025/03/01,,
2765001215,光ケアセンター,06-6789-1115,06-7161-2333,578-0947,東大阪市西岩田三丁目３番１３号１３７　 ,一般社団法人光,○,○,○,○,2023/04/01,,
2765000548,ケア２１鴻池,06-6748-9621,06-6744-1821,578-0971,東大阪市鴻池本町１番１９号　マンションヤマムラ１階,株式会社　ケア２１,○,○,○,○,2013/07/01,,
2765000696,ヘルパー支援事業ここから,06-7493-2919,06-7493-2919,578-0972,東大阪市鴻池町二丁目６番４３号　 ,ＮＰＯ法人　みらい福祉会,○,○,○,○,2016/01/01,,
2765001140,すまりば,072-943-1230,072-344-5846,578-0973,東大阪市東鴻池町五丁目２番１３号－２０１号　 ,合同会社Ｓｍａｒｔ　ｒｉｖｅｒ,○,○,○,○,2020/11/01,,
2765000712,ビューティフルケアサポート,06-4309-8640,06-4309-8662,578-0975,東大阪市中鴻池町二丁目１番２５号　 ,株式会社ａｂｉｌｉｔｙ,○,○,○,○,2016/06/01,,
2765000662,ケアセンターゆるる,06-4307-4966,06-4307-4967,578-0977,東大阪市鴻池徳庵町４番１９号　 ,株式会社ゆるる,○,○,○,○,2015/07/01,,
2765001298,Ａｔｅｌｉｅｒ　Ｓ,090-3826-1421,072-970-5858,579-8012,東大阪市上石切町二丁目１８番３号　 ,合同会社Ａｔｅｌｉｅｒ　Ｓ,○,○,○,○,2024/09/01,,
2765000068,介護支援センターサルビア,072-985-0177,072-985-1770,579-8014,東大阪市中石切町二丁目３番４５号　新石切ビル１階,有限会社　サクセス,,,,,2008/09/01,,
2765001165,地域支援事業所てくてく,070-1437-3547,072-987-1889,579-8021,東大阪市額田町４番２１号　 ,有限会社はーでゅ,,○,○,○,2021/11/01,,
2765000019,アイハウス東大阪,072-980-4383,072-983-5678,579-8036,東大阪市鷹殿町１９番２号　大倉ビル２０３号,株式会社　マツムラ,○,○,○,○,2008/09/01,,
2765000605,ｓｔｏｃ９,072-983-5602,072-983-5603,579-8038,東大阪市箱殿町２番１号　 ,株式会社ｓｔｏｃ９,○,○,○,○,2013/11/01,,
2765001082,あいる居宅さぽーと,072-968-7623,072-968-7624,579-8046,東大阪市昭和町２０番１８号　 ,ＮＰＯ法人Ｃｈｅｒｉ,○,○,○,○,2020/04/01,,
2765001231,こまケア桜町ヘルパーステーション,072-970-5329,072-970-5392,579-8047,東大阪市桜町４番３号　 ,株式会社駒精機,○,○,○,○,2023/11/01,,
2765000894,ヘルパーステーションべてる,072-951-2750,072-915-7290,579-8048,東大阪市旭町１７番２号　 ,一般社団法人豊川会,○,○,○,○,2019/03/01,,
2765000944,愛リリーブ,072-973-6280,072-970-6230,579-8064,東大阪市池島町三丁目３番４号　メゾン東花園２０１号室,特定非営利活動法人きずわ,○,○,○,○,2019/07/01,,
2764800294,思責,072-332-3400,072-332-3401,580-0006,松原市大堀二丁目１５番３３号　 ,オモセキ合同会社,○,○,○,○,2024/04/01,,
2764800336,結の木,072-202-6248,072-202-6248,580-0012,松原市立部一丁目６番１９号　新田貸事務所立部１ー３０１号,合同会社こころに咲く,○,○,○,○,2026/06/01,,
2764800302,ヘルパーステーションひなた,072-349-9712,072-349-9722,580-0016,松原市上田一丁目４－２　富士ビル松原Ⅰ２０４,Ｕｔｏｐｉａ株式会社,○,○,○,○,2024/04/01,,
2764800328,ＣＯＣＯ訪問介護,072-368-5355,072-368-5356,580-0016,松原市上田一丁目４番２号　富士ビル松原Ⅰ　３０３号室,株式会社ＣＯＣＯ,○,○,○,○,2026/05/01,,
2764800047,介護トータルケアサービス愛あ～る,072-330-5544,072-330-5622,580-0024,松原市東新町三丁目３番１８号　,有限会社　愛あーる,,,,,2008/09/01,,
2764800070,障がい者支援センターしあわせ,072-335-2911,072-335-3203,580-0025,松原市北新町６－１７－２５　 ,有限会社しあわせ,,,,,2011/09/05,,
2764800062,ケアステーションかえで,072-339-6577,072-339-6570,580-0026,松原市天美我堂７丁目４番１号　長谷川ビル２階,株式会社かえで,,,,,2011/09/01,,
2764800112,ケアワークまつばら,072-350-9387,072-320-7157,580-0032,松原市天美東一丁目８番１７号　 ,有限会社ソーシャルケアサービス,○,○,○,○,2018/10/01,,
2764800286,えごえんヘルパーステーション,072-320-0345,072-337-2026,580-0032,松原市天美東九丁目４番１６号　 ,合同会社えごえん,○,○,○,○,2023/05/01,,
2764800310,共同介護　Ｇｒａｓｓ,080-7364-5891, ,580-0033,松原市天美南二丁目２４０番２８号　 ,株式会社人想,○,○,○,○,2024/07/01,,
2764800021,ふれあいサークルまどか,072-338-3381,072-338-3381,580-0042,松原市松ヶ丘四丁目３番５号　,有限会社　円,,,,,2008/09/01,,
2764800104,ヘルパーステーションとまり木,072-331-6982,072-331-9208,580-0044,松原市田井城一丁目７番２６号　３０９プラザ１０１号,一般社団法人とまり木,○,○,○,○,2018/06/01,,
2765000738,訪問介護　夕陽紅,072-992-0586,072-992-0587,581-0001,八尾市末広町五丁目３－１４　 ,株式会社ＩＫＯ,○,○,○,○,2016/08/01,,
2765500471,ウォームハンズ,072-943-3456,072-943-3456,581-0003,八尾市本町一丁目６番２０号　 ,合同会社Ｗａｒｍｈａｎｄｓ,○,○,○,○,2025/01/01,,
2765500430,最愛の会,072-970-6836,072-970-6837,581-0004,八尾市東本町五丁目２番５号　 ,株式会社寺澤,○,○,○,○,2023/05/01,,
2765500083,ヘルパーステーション「メロディ」,072-997-8411,072-997-8477,581-0013,八尾市山本町南１－８－２８　,社会福祉法人信貴福祉会,,,,,2010/03/01,,
2765500224,ぶんぷく介護センタ―,072-990-0229,072-990-0228,581-0013,八尾市山本町南五丁目４番１５号　 ,株式会社　分福,○,○,,○,2017/05/01,,
2765500455,医療法人中道会　ヘルパーステーションかえで,072-970-6031,072-970-6032,581-0025,八尾市天王寺屋二丁目１８番２号　１階,医療法人中道会,○,○,○,○,2024/01/01,,
2765500208,あいてらすケアステーション志紀,072-920-6630,072-920-6650,581-0025,八尾市天王寺屋二丁目１３３番地の３　ミレニアムニシムラ１０５号室,株式会社ウェルアップ,○,○,○,○,2016/11/01,,
2765507252,ケア２１八尾志紀,072-949-7221,072-949-7231,581-0031,八尾市志紀町一丁目１０番地　ジョイフルオオイシ１号館１０３号室,株式会社　ケア２１,○,○,○,○,2025/07/01,,
2765500075,わかばケアサービス,072-948-7390,072-920-5607,581-0036,八尾市沼１丁目６８番地２０　 ,株式会社若葉,,,,,2010/03/01,,
2765500448,訪問介護ステーションおむすび,072-920-1555,072-920-1556,581-0037,八尾市太田三丁目１８１番地の１　カサベルデ大正１０６号室,株式会社紬,○,○,○,○,2023/06/01,,
2765500240,ハピネス八尾ヘルパーステーション,072-948-8008,072-949-8111,581-0039,八尾市太田新町三丁目８８番地１　 ,社会福祉法人幸寿会,○,○,○,,2018/09/01,,
2765500166,ヨツバ訪問介護ステーション,072-929-9157,072-929-9158,581-0042,八尾市南木の本二丁目１２番地の１５　 ,合同会社　Ｌｅｅ　Ｐｌａｎｎｉｎｇ,○,○,○,○,2016/05/01,,
2765500380,訪問介護トラスト,072-983-6401,072-970-6799,581-0044,八尾市木の本二丁目５１番地の２　エメラルドマンション２Ｎ号,株式会社在宅介護トラスト,○,○,○,○,2021/04/01,,
2765500067,ケア２１八尾南,072-990-4721,072-999-8921,581-0068,八尾市跡部北の町１－３－１６　,株式会社　ケア２１,○,○,○,○,2010/02/01,,
2769900230,八尾楽園,072-991-0246,072-999-9982,581-0072,八尾市久宝寺３－１５－５３　,株式会社ウエスト,,,,,2008/09/01,,
2765500414,訪問介護のコロチャ,072-976-4692,072-976-4693,581-0075,八尾市渋川町六丁目３番３２号　エクセルハイツⅡ　２０２号室,一般社団法人ココロザシチャレンジ,○,○,○,○,2021/10/01,,
2765500091,わあるず介護センタ―八尾,072-970-6861,072-970-6862,581-0085,八尾市安中町２－１－６３　,株式会社わあるず,,,,,2012/05/01,,
2765500042,クローバーケアサービス,072-973-7700,072-973-7701,581-0085,八尾市安中町三丁目５番１号　 ,有限会社　ピュアクオリティ,,,,,2008/09/01,,
2765500372,ケアステーション楽生,072-924-8900,072-924-8903,581-0085,八尾市安中町四丁目２番８号　 ,株式会社楽生,○,○,○,○,2020/11/01,,
2765500216,ケアステーション乃愛,072-924-3311,072-924-3318,581-0086,八尾市陽光園一丁目７番１号　 ,株式会社　Ｒｏｃｋ,○,○,○,○,2017/05/01,,
2765000688,生活支援センターかがやき,072-951-5160,072-951-6735,581-0094,八尾市志紀町西四丁目６１番地　 ,株式会社かがやき,○,○,○,○,2015/10/01,,
2765500398,訪問介護ステーションさくら,072-915-3960,072-915-3970,581-0095,八尾市田井中三丁目６６番地　 ,株式会社Ｃｈｅｒｒｙ　Ｂｌｏｓｓｏｍ,○,○,○,○,2021/04/01,,
2765500463,ケア２１八尾,072-929-4121,072-929-4123,581-0802,八尾市北本町一丁目２番１２号　昭和ビル２階,株式会社　ケア２１,○,○,○,○,2024/01/01,,
2765500422,くぅ。ホームケアリング,072-929-9033,072-929-9162,581-0834,八尾市萱振町三丁目１００番２号－Ａ１０１　 ,合同会社Ｑｏｏ,○,○,○,○,2023/03/01,,
2765500141,思いやり介護サービス,072-990-3808,072-990-3809,581-0866,八尾市東山本新町六丁目２番１９号　 ,株式会社　増子建設,○,○,○,○,2014/07/01,,
2765500257,千歳訪問介護,072-920-4581,072-920-4582,581-0869,八尾市桜ケ丘三丁目７４番地　 ,合同会社六八,○,○,○,○,2020/01/01,,
2765500232,ＴＭ介護サービス,072-975-6850,072-975-6851,581-0874,八尾市教興寺六丁目７２番地　ハイム朝日１０５号室,株式会社ＴＭ介護サービス,○,○,○,○,2017/11/01,,
2765507237,訪問介護ファンケア,072-975-6396,072-975-6390,581-0874,八尾市教興寺五丁目１４６番地　 ,株式会社ファンケア,○,○,○,○,2025/09/01,,
2765500190,スカイ介護サービス,072-941-1808,072-941-1811,581-0881,八尾市垣内一丁目１７９番地　 ,株式会社スカイ,○,○,○,○,2016/09/01,,
2765500026,あとむケアサービス,072-944-0449,072-943-7400,581-0885,八尾市神宮寺四丁目９６番地　,あとむ　有限会社,○,○,○,○,2008/09/01,,
2764600140,訪問介護ステーション福来苑,072-983-5469,072-983-6498,582-0002,柏原市今町一丁目４番１７号　 ,株式会社仁徳会,○,○,○,○,2023/05/01,,
2764607020,らぴす介護ステーション,072-968-7551,072-968-7552,582-0002,柏原市今町一丁目２番１３－２０４号　 ,株式会社ラルーチェ,○,○,○,○,2025/12/01,,
2764600157,リライフヘルパーステーション,050-3159-9720,050-3159-9702,582-0005,柏原市法善寺三丁目７番１号　プチメゾンＨＯＺＥＮＪＩ３０３号室,合同会社フーレ,○,○,○,○,2026/01/01,,
2764600017,トーヨーふれ愛パルク,06-6792-8008,06-6792-8010,582-0016,柏原市安堂町１番３０号　大清第２ビル２階,株式会社　ふれ愛交通,,,,,2008/09/01,,
2764600033,アース訪問介護,072-959-8431,072-959-8431,582-0021,柏原市国分本町２丁目１番１５号　ブランビエント１０１号,合同会社Ｓｔｅａｄｙ＆Ｃｏ．,○,○,○,○,2018/08/01,,
2763400104,ヘルパーステーション花笑み　はじの里,072-931-1830,072-931-1831,583-0006,藤井寺市国府一丁目２番１２号　七神国府ビル３０８号室,合同会社ＳＨＵＲＡ,○,○,○,○,2020/03/01,,
2763400070,メープル,072-959-3356,072-952-0849,583-0011,藤井寺市沢田四丁目９番２２号　 ,株式会社アセント,○,○,○,○,2013/07/01,,
2763400096,ヘルパーステーション　かりん,072-921-9894,072-921-9895,583-0015,藤井寺市青山二丁目３番７号　 ,株式会社　かりん,○,○,○,○,2014/12/01,,
